ProductID,Sku,Name,Category,Price,IsActive
1,sku-00001,Product 1,Books,18.07,1
2,sku-00002,Product 2,Electronics,31.14,1
3,sku-00003,Product 3,Apparel,44.21,1
4,sku-00004,Product 4,Home,57.28,1
5,sku-00005,Product 5,Toys,70.35,1
6,sku-00006,Product 6,Books,83.42,1
7,sku-00007,Product 7,Electronics,96.49,1
8,sku-00008,Product 8,Apparel,109.56,1
9,sku-00009,Product 9,Home,122.63,1
10,sku-00010,Product 10,Toys,135.7,0
11,sku-00011,Product 11,Books,148.77,1
12,sku-00012,Product 12,Electronics,161.84,1
13,sku-00013,Product 13,Apparel,174.91,1
14,sku-00014,Product 14,Home,187.98,1
15,sku-00015,Product 15,Toys,200.05,1
16,sku-00016,Product 16,Books,213.12,1
17,sku-00017,Product 17,Electronics,226.19,1
18,sku-00018,Product 18,Apparel,239.26,1
19,sku-00019,Product 19,Home,252.33,1
20,sku-00020,Product 20,Toys,265.4,0
21,sku-00021,Product 21,Books,278.47,1
22,sku-00022,Product 22,Electronics,291.54,1
23,sku-00023,Product 23,Apparel,304.61,1
24,sku-00024,Product 24,Home,317.68,1
25,sku-00025,Product 25,Toys,330.75,1
26,sku-00026,Product 26,Books,343.82,1
27,sku-00027,Product 27,Electronics,356.89,1
28,sku-00028,Product 28,Apparel,369.96,1
29,sku-00029,Product 29,Home,382.03,1
30,sku-00030,Product 30,Toys,395.1,0
31,sku-00031,Product 31,Books,408.17,1
32,sku-00032,Product 32,Electronics,421.24,1
33,sku-00033,Product 33,Apparel,434.31,1
34,sku-00034,Product 34,Home,447.38,1
35,sku-00035,Product 35,Toys,460.45,1
36,sku-00036,Product 36,Books,473.52,1
37,sku-00037,Product 37,Electronics,486.59,1
38,sku-00038,Product 38,Apparel,499.66,1
39,sku-00039,Product 39,Home,12.73,1
40,sku-00040,Product 40,Toys,25.8,0
41,sku-00041,Product 41,Books,38.87,1
42,sku-00042,Product 42,Electronics,51.94,1
43,sku-00043,Product 43,Apparel,64.01,1
44,sku-00044,Product 44,Home,77.08,1
45,sku-00045,Product 45,Toys,90.15,1
46,sku-00046,Product 46,Books,103.22,1
47,sku-00047,Product 47,Electronics,116.29,1
48,sku-00048,Product 48,Apparel,129.36,1
49,sku-00049,Product 49,Home,142.43,1
50,sku-00050,Product 50,Toys,155.5,0
51,sku-00051,Product 51,Books,168.57,1
52,sku-00052,Product 52,Electronics,181.64,1
53,sku-00053,Product 53,Apparel,194.71,1
54,sku-00054,Product 54,Home,207.78,1
55,sku-00055,Product 55,Toys,220.85,1
56,sku-00056,Product 56,Books,233.92,1
57,sku-00057,Product 57,Electronics,246.99,1
58,sku-00058,Product 58,Apparel,259.06,1
59,sku-00059,Product 59,Home,272.13,1
60,sku-00060,Product 60,Toys,285.2,0
61,sku-00061,Product 61,Books,298.27,1
62,sku-00062,Product 62,Electronics,311.34,1
63,sku-00063,Product 63,Apparel,324.41,1
64,sku-00064,Product 64,Home,337.48,1
65,sku-00065,Product 65,Toys,350.55,1
66,sku-00066,Product 66,Books,363.62,1
67,sku-00067,Product 67,Electronics,376.69,1
68,sku-00068,Product 68,Apparel,389.76,1
69,sku-00069,Product 69,Home,402.83,1
70,sku-00070,Product 70,Toys,415.9,0
71,sku-00071,Product 71,Books,428.97,1
72,sku-00072,Product 72,Electronics,441.04,1
73,sku-00073,Product 73,Apparel,454.11,1
74,sku-00074,Product 74,Home,467.18,1
75,sku-00075,Product 75,Toys,480.25,1
76,sku-00076,Product 76,Books,493.32,1
77,sku-00077,Product 77,Electronics,6.39,1
78,sku-00078,Product 78,Apparel,19.46,1
79,sku-00079,Product 79,Home,32.53,1
80,sku-00080,Product 80,Toys,45.6,0
81,sku-00081,Product 81,Books,58.67,1
82,sku-00082,Product 82,Electronics,71.74,1
83,sku-00083,Product 83,Apparel,84.81,1
84,sku-00084,Product 84,Home,97.88,1
85,sku-00085,Product 85,Toys,110.95,1
86,sku-00086,Product 86,Books,123.02,1
87,sku-00087,Product 87,Electronics,136.09,1
88,sku-00088,Product 88,Apparel,149.16,1
89,sku-00089,Product 89,Home,162.23,1
90,sku-00090,Product 90,Toys,175.3,0
91,sku-00091,Product 91,Books,188.37,1
92,sku-00092,Product 92,Electronics,201.44,1
93,sku-00093,Product 93,Apparel,214.51,1
94,sku-00094,Product 94,Home,227.58,1
95,sku-00095,Product 95,Toys,240.65,1
96,sku-00096,Product 96,Books,253.72,1
97,sku-00097,Product 97,Electronics,266.79,1
98,sku-00098,Product 98,Apparel,279.86,1
99,sku-00099,Product 99,Home,292.93,1
100,sku-00100,Product 100,Toys,305,0
