"OrderID","CustomerID","OrderDate","TotalAmount","Status"
"1","1","05/25/2026 17:00:00","37.11","New"
"2","2","05/25/2026 10:00:00","54.22","Paid"
"3","3","05/25/2026 03:00:00","71.33","Shipped"
"4","4","05/24/2026 20:00:00","88.44","Cancelled"
"5","5","05/24/2026 13:00:00","105.55","New"
"6","6","05/24/2026 06:00:00","122.66","Paid"
"7","7","05/23/2026 23:00:00","139.77","Shipped"
"8","8","05/23/2026 16:00:00","156.88","Cancelled"
"9","9","05/23/2026 09:00:00","173.99","New"
"10","10","05/23/2026 02:00:00","190.10","Paid"
"11","11","05/22/2026 19:00:00","207.21","Shipped"
"12","12","05/22/2026 12:00:00","224.32","Cancelled"
"13","13","05/22/2026 05:00:00","241.43","New"
"14","14","05/21/2026 22:00:00","258.54","Paid"
"15","15","05/21/2026 15:00:00","275.65","Shipped"
"16","16","05/21/2026 08:00:00","292.76","Cancelled"
"17","17","05/21/2026 01:00:00","309.87","New"
"18","18","05/20/2026 18:00:00","326.98","Paid"
"19","19","05/20/2026 11:00:00","343.09","Shipped"
"20","20","05/20/2026 04:00:00","360.20","Cancelled"
"21","21","05/19/2026 21:00:00","377.31","New"
"22","22","05/19/2026 14:00:00","394.42","Paid"
"23","23","05/19/2026 07:00:00","411.53","Shipped"
"24","24","05/19/2026 00:00:00","428.64","Cancelled"
"25","25","05/18/2026 17:00:00","445.75","New"
"26","26","05/18/2026 10:00:00","462.86","Paid"
"27","27","05/18/2026 03:00:00","479.97","Shipped"
"28","28","05/17/2026 20:00:00","496.08","Cancelled"
"29","29","05/17/2026 13:00:00","513.19","New"
"30","30","05/17/2026 06:00:00","530.30","Paid"
"31","31","05/16/2026 23:00:00","547.41","Shipped"
"32","32","05/16/2026 16:00:00","564.52","Cancelled"
"33","33","05/16/2026 09:00:00","581.63","New"
"34","34","05/16/2026 02:00:00","598.74","Paid"
"35","35","05/15/2026 19:00:00","615.85","Shipped"
"36","36","05/15/2026 12:00:00","632.96","Cancelled"
"37","37","05/15/2026 05:00:00","649.07","New"
"38","38","05/14/2026 22:00:00","666.18","Paid"
"39","39","05/14/2026 15:00:00","683.29","Shipped"
"40","40","05/14/2026 08:00:00","700.40","Cancelled"
"41","41","05/14/2026 01:00:00","717.51","New"
"42","42","05/13/2026 18:00:00","734.62","Paid"
"43","43","05/13/2026 11:00:00","751.73","Shipped"
"44","44","05/13/2026 04:00:00","768.84","Cancelled"
"45","45","05/12/2026 21:00:00","785.95","New"
"46","46","05/12/2026 14:00:00","802.06","Paid"
"47","47","05/12/2026 07:00:00","819.17","Shipped"
"48","48","05/12/2026 00:00:00","836.28","Cancelled"
"49","49","05/11/2026 17:00:00","853.39","New"
"50","50","05/11/2026 10:00:00","870.50","Paid"
"51","51","05/11/2026 03:00:00","887.61","Shipped"
"52","52","05/10/2026 20:00:00","904.72","Cancelled"
"53","53","05/10/2026 13:00:00","921.83","New"
"54","54","05/10/2026 06:00:00","938.94","Paid"
"55","55","05/09/2026 23:00:00","955.05","Shipped"
"56","56","05/09/2026 16:00:00","972.16","Cancelled"
"57","57","05/09/2026 09:00:00","989.27","New"
"58","58","05/09/2026 02:00:00","1006.38","Paid"
"59","59","05/08/2026 19:00:00","1023.49","Shipped"
"60","60","05/08/2026 12:00:00","1040.60","Cancelled"
"61","61","05/08/2026 05:00:00","1057.71","New"
"62","62","05/07/2026 22:00:00","1074.82","Paid"
"63","63","05/07/2026 15:00:00","1091.93","Shipped"
"64","64","05/07/2026 08:00:00","1108.04","Cancelled"
"65","65","05/07/2026 01:00:00","1125.15","New"
"66","66","05/06/2026 18:00:00","1142.26","Paid"
"67","67","05/06/2026 11:00:00","1159.37","Shipped"
"68","68","05/06/2026 04:00:00","1176.48","Cancelled"
"69","69","05/05/2026 21:00:00","1193.59","New"
"70","70","05/05/2026 14:00:00","1210.70","Paid"
"71","71","05/05/2026 07:00:00","1227.81","Shipped"
"72","72","05/05/2026 00:00:00","1244.92","Cancelled"
"73","73","05/04/2026 17:00:00","1261.03","New"
"74","74","05/04/2026 10:00:00","1278.14","Paid"
"75","75","05/04/2026 03:00:00","1295.25","Shipped"
"76","76","05/03/2026 20:00:00","1312.36","Cancelled"
"77","77","05/03/2026 13:00:00","1329.47","New"
"78","78","05/03/2026 06:00:00","1346.58","Paid"
"79","79","05/02/2026 23:00:00","1363.69","Shipped"
"80","80","05/02/2026 16:00:00","1380.80","Cancelled"
"81","81","05/02/2026 09:00:00","1397.91","New"
"82","82","05/02/2026 02:00:00","1414.02","Paid"
"83","83","05/01/2026 19:00:00","1431.13","Shipped"
"84","84","05/01/2026 12:00:00","1448.24","Cancelled"
"85","85","05/01/2026 05:00:00","1465.35","New"
"86","86","04/30/2026 22:00:00","1482.46","Paid"
"87","87","04/30/2026 15:00:00","1499.57","Shipped"
"88","88","04/30/2026 08:00:00","1516.68","Cancelled"
"89","89","04/30/2026 01:00:00","1533.79","New"
"90","90","04/29/2026 18:00:00","1550.90","Paid"
"91","91","04/29/2026 11:00:00","1567.01","Shipped"
"92","92","04/29/2026 04:00:00","1584.12","Cancelled"
"93","93","04/28/2026 21:00:00","1601.23","New"
"94","94","04/28/2026 14:00:00","1618.34","Paid"
"95","95","04/28/2026 07:00:00","1635.45","Shipped"
"96","96","04/28/2026 00:00:00","1652.56","Cancelled"
"97","97","04/27/2026 17:00:00","1669.67","New"
"98","98","04/27/2026 10:00:00","1686.78","Paid"
"99","99","04/27/2026 03:00:00","1703.89","Shipped"
"100","100","04/26/2026 20:00:00","1720.00","Cancelled"
"101","101","04/26/2026 13:00:00","1737.11","New"
"102","102","04/26/2026 06:00:00","1754.22","Paid"
"103","103","04/25/2026 23:00:00","1771.33","Shipped"
"104","104","04/25/2026 16:00:00","1788.44","Cancelled"
"105","105","04/25/2026 09:00:00","1805.55","New"
"106","106","04/25/2026 02:00:00","1822.66","Paid"
"107","107","04/24/2026 19:00:00","1839.77","Shipped"
"108","108","04/24/2026 12:00:00","1856.88","Cancelled"
"109","109","04/24/2026 05:00:00","1873.99","New"
"110","110","04/23/2026 22:00:00","1890.10","Paid"
"111","111","04/23/2026 15:00:00","1907.21","Shipped"
"112","112","04/23/2026 08:00:00","1924.32","Cancelled"
"113","113","04/23/2026 01:00:00","1941.43","New"
"114","114","04/22/2026 18:00:00","1958.54","Paid"
"115","115","04/22/2026 11:00:00","1975.65","Shipped"
"116","116","04/22/2026 04:00:00","1992.76","Cancelled"
"117","117","04/21/2026 21:00:00","2009.87","New"
"118","118","04/21/2026 14:00:00","26.98","Paid"
"119","119","04/21/2026 07:00:00","43.09","Shipped"
"120","120","04/21/2026 00:00:00","60.20","Cancelled"
"121","121","04/20/2026 17:00:00","77.31","New"
"122","122","04/20/2026 10:00:00","94.42","Paid"
"123","123","04/20/2026 03:00:00","111.53","Shipped"
"124","124","04/19/2026 20:00:00","128.64","Cancelled"
"125","125","04/19/2026 13:00:00","145.75","New"
"126","126","04/19/2026 06:00:00","162.86","Paid"
"127","127","04/18/2026 23:00:00","179.97","Shipped"
"128","128","04/18/2026 16:00:00","196.08","Cancelled"
"129","129","04/18/2026 09:00:00","213.19","New"
"130","130","04/18/2026 02:00:00","230.30","Paid"
"131","131","04/17/2026 19:00:00","247.41","Shipped"
"132","132","04/17/2026 12:00:00","264.52","Cancelled"
"133","133","04/17/2026 05:00:00","281.63","New"
"134","134","04/16/2026 22:00:00","298.74","Paid"
"135","135","04/16/2026 15:00:00","315.85","Shipped"
"136","136","04/16/2026 08:00:00","332.96","Cancelled"
"137","137","04/16/2026 01:00:00","349.07","New"
"138","138","04/15/2026 18:00:00","366.18","Paid"
"139","139","04/15/2026 11:00:00","383.29","Shipped"
"140","140","04/15/2026 04:00:00","400.40","Cancelled"
"141","141","04/14/2026 21:00:00","417.51","New"
"142","142","04/14/2026 14:00:00","434.62","Paid"
"143","143","04/14/2026 07:00:00","451.73","Shipped"
"144","144","04/14/2026 00:00:00","468.84","Cancelled"
"145","145","04/13/2026 17:00:00","485.95","New"
"146","146","04/13/2026 10:00:00","502.06","Paid"
"147","147","04/13/2026 03:00:00","519.17","Shipped"
"148","148","04/12/2026 20:00:00","536.28","Cancelled"
"149","149","04/12/2026 13:00:00","553.39","New"
"150","150","04/12/2026 06:00:00","570.50","Paid"
"151","151","04/11/2026 23:00:00","587.61","Shipped"
"152","152","04/11/2026 16:00:00","604.72","Cancelled"
"153","153","04/11/2026 09:00:00","621.83","New"
"154","154","04/11/2026 02:00:00","638.94","Paid"
"155","155","04/10/2026 19:00:00","655.05","Shipped"
"156","156","04/10/2026 12:00:00","672.16","Cancelled"
"157","157","04/10/2026 05:00:00","689.27","New"
"158","158","04/09/2026 22:00:00","706.38","Paid"
"159","159","04/09/2026 15:00:00","723.49","Shipped"
"160","160","04/09/2026 08:00:00","740.60","Cancelled"
"161","161","04/09/2026 01:00:00","757.71","New"
"162","162","04/08/2026 18:00:00","774.82","Paid"
"163","163","04/08/2026 11:00:00","791.93","Shipped"
"164","164","04/08/2026 04:00:00","808.04","Cancelled"
"165","165","04/07/2026 21:00:00","825.15","New"
"166","166","04/07/2026 14:00:00","842.26","Paid"
"167","167","04/07/2026 07:00:00","859.37","Shipped"
"168","168","04/07/2026 00:00:00","876.48","Cancelled"
