"ProductID","Sku","Name","Category","Price","IsActive"
"1","sku-00001","Product 1","Books","18.07","True"
"2","sku-00002","Product 2","Electronics","31.14","True"
"3","sku-00003","Product 3","Apparel","44.21","True"
"4","sku-00004","Product 4","Home","57.28","True"
"5","sku-00005","Product 5","Toys","70.35","True"
"6","sku-00006","Product 6","Books","83.42","True"
"7","sku-00007","Product 7","Electronics","96.49","True"
"8","sku-00008","Product 8","Apparel","109.56","True"
"9","sku-00009","Product 9","Home","122.63","True"
"10","sku-00010","Product 10","Toys","135.70","False"
"11","sku-00011","Product 11","Books","148.77","True"
"12","sku-00012","Product 12","Electronics","161.84","True"
"13","sku-00013","Product 13","Apparel","174.91","True"
"14","sku-00014","Product 14","Home","187.98","True"
"15","sku-00015","Product 15","Toys","200.05","True"
"16","sku-00016","Product 16","Books","213.12","True"
"17","sku-00017","Product 17","Electronics","226.19","True"
"18","sku-00018","Product 18","Apparel","239.26","True"
"19","sku-00019","Product 19","Home","252.33","True"
"20","sku-00020","Product 20","Toys","265.40","False"
"21","sku-00021","Product 21","Books","278.47","True"
"22","sku-00022","Product 22","Electronics","291.54","True"
"23","sku-00023","Product 23","Apparel","304.61","True"
"24","sku-00024","Product 24","Home","317.68","True"
"25","sku-00025","Product 25","Toys","330.75","True"
"26","sku-00026","Product 26","Books","343.82","True"
"27","sku-00027","Product 27","Electronics","356.89","True"
"28","sku-00028","Product 28","Apparel","369.96","True"
"29","sku-00029","Product 29","Home","382.03","True"
"30","sku-00030","Product 30","Toys","395.10","False"
"31","sku-00031","Product 31","Books","408.17","True"
"32","sku-00032","Product 32","Electronics","421.24","True"
"33","sku-00033","Product 33","Apparel","434.31","True"
"34","sku-00034","Product 34","Home","447.38","True"
"35","sku-00035","Product 35","Toys","460.45","True"
"36","sku-00036","Product 36","Books","473.52","True"
"37","sku-00037","Product 37","Electronics","486.59","True"
"38","sku-00038","Product 38","Apparel","499.66","True"
"39","sku-00039","Product 39","Home","12.73","True"
"40","sku-00040","Product 40","Toys","25.80","False"
"41","sku-00041","Product 41","Books","38.87","True"
"42","sku-00042","Product 42","Electronics","51.94","True"
"43","sku-00043","Product 43","Apparel","64.01","True"
"44","sku-00044","Product 44","Home","77.08","True"
"45","sku-00045","Product 45","Toys","90.15","True"
"46","sku-00046","Product 46","Books","103.22","True"
"47","sku-00047","Product 47","Electronics","116.29","True"
"48","sku-00048","Product 48","Apparel","129.36","True"
"49","sku-00049","Product 49","Home","142.43","True"
"50","sku-00050","Product 50","Toys","155.50","False"
"51","sku-00051","Product 51","Books","168.57","True"
"52","sku-00052","Product 52","Electronics","181.64","True"
"53","sku-00053","Product 53","Apparel","194.71","True"
"54","sku-00054","Product 54","Home","207.78","True"
"55","sku-00055","Product 55","Toys","220.85","True"
"56","sku-00056","Product 56","Books","233.92","True"
"57","sku-00057","Product 57","Electronics","246.99","True"
"58","sku-00058","Product 58","Apparel","259.06","True"
"59","sku-00059","Product 59","Home","272.13","True"
"60","sku-00060","Product 60","Toys","285.20","False"
"61","sku-00061","Product 61","Books","298.27","True"
"62","sku-00062","Product 62","Electronics","311.34","True"
"63","sku-00063","Product 63","Apparel","324.41","True"
"64","sku-00064","Product 64","Home","337.48","True"
"65","sku-00065","Product 65","Toys","350.55","True"
"66","sku-00066","Product 66","Books","363.62","True"
"67","sku-00067","Product 67","Electronics","376.69","True"
"68","sku-00068","Product 68","Apparel","389.76","True"
"69","sku-00069","Product 69","Home","402.83","True"
"70","sku-00070","Product 70","Toys","415.90","False"
"71","sku-00071","Product 71","Books","428.97","True"
"72","sku-00072","Product 72","Electronics","441.04","True"
"73","sku-00073","Product 73","Apparel","454.11","True"
"74","sku-00074","Product 74","Home","467.18","True"
"75","sku-00075","Product 75","Toys","480.25","True"
"76","sku-00076","Product 76","Books","493.32","True"
"77","sku-00077","Product 77","Electronics","6.39","True"
"78","sku-00078","Product 78","Apparel","19.46","True"
"79","sku-00079","Product 79","Home","32.53","True"
"80","sku-00080","Product 80","Toys","45.60","False"
"81","sku-00081","Product 81","Books","58.67","True"
"82","sku-00082","Product 82","Electronics","71.74","True"
"83","sku-00083","Product 83","Apparel","84.81","True"
"84","sku-00084","Product 84","Home","97.88","True"
"85","sku-00085","Product 85","Toys","110.95","True"
"86","sku-00086","Product 86","Books","123.02","True"
"87","sku-00087","Product 87","Electronics","136.09","True"
"88","sku-00088","Product 88","Apparel","149.16","True"
"89","sku-00089","Product 89","Home","162.23","True"
"90","sku-00090","Product 90","Toys","175.30","False"
"91","sku-00091","Product 91","Books","188.37","True"
"92","sku-00092","Product 92","Electronics","201.44","True"
"93","sku-00093","Product 93","Apparel","214.51","True"
"94","sku-00094","Product 94","Home","227.58","True"
"95","sku-00095","Product 95","Toys","240.65","True"
"96","sku-00096","Product 96","Books","253.72","True"
"97","sku-00097","Product 97","Electronics","266.79","True"
"98","sku-00098","Product 98","Apparel","279.86","True"
"99","sku-00099","Product 99","Home","292.93","True"
"100","sku-00100","Product 100","Toys","305.00","False"
